[34m[1mwandb[0m: [33mWARNING[0m Linked 1 file into the W&B run directory (hardlinks); call wandb.save again to sync new files.

[BEST MODEL SAVED] Avg100 Reward: 4.61

Episode:     0 | Reward:       4.61 | Avg100:       4.61
Episode 0, Reward: 4.614407709352969
Episode 1, Reward: 3.689023096737314
Episode 2, Reward: 3.2239326123828045
Episode 3, Reward: 4.359760526062837
Episode 4, Reward: 3.2778524557803865
Episode 5, Reward: 3.303213516530319
Episode 6, Reward: 3.6202133897245554
Episode 7, Reward: 3.448894468685485
Episode 8, Reward: 4.210656741422105
Episode 9, Reward: 3.0897043030788365
Episode 10, Reward: 3.564262097555049
Episode 11, Reward: 3.561150431235416
Episode 12, Reward: 3.649988524652552
Episode 13, Reward: 3.7589998119437764
Episode 14, Reward: 4.099666400535574
Episode 15, Reward: 4.369086958845253
Episode 16, Reward: 2.859934487749318
Episode 17, Reward: 9.557006615212787
Episode 18, Reward: 3.1917385200609742
Episode 19, Reward: 3.5292946383199206
Episode 20, Reward: 10.242105291617426
Episode 21, Reward: 3.395198695732834
Episode 22, Reward: 6.0214017622307034
Episode 23, Reward: 3.1961449151933645
Episode 24, Reward: 3.422403038803213
Episode 25, Reward: 3.079541879442273
Episode 26, Reward: 3.8329040172070927
Episode 27, Reward: 4.538374964377182
Episode 28, Reward: 7.074959384678857
Episode 29, Reward: 5.532103063745863
Episode 30, Reward: 3.5849923972922335
Episode 31, Reward: 5.033345669315724
Episode 32, Reward: 3.8533126806380604
Episode 33, Reward: 3.469975355451517
Episode 34, Reward: 8.145780375197743
Episode 35, Reward: 3.535467293564753
Episode 36, Reward: 3.215231868710303
Episode 37, Reward: 3.429376869107107
Episode 38, Reward: 3.4089585553078985
Episode 39, Reward: 3.325503850343634
Episode 40, Reward: 3.499185551028187
Episode 41, Reward: 3.8265726455758164
Episode 42, Reward: 3.773136587315988
Episode 43, Reward: 3.663875843208836
Episode 44, Reward: 3.5183723549085473
Episode 45, Reward: 3.3584831767013457
Episode 46, Reward: 3.4863257535338708
Episode 47, Reward: 3.565273849822325
Episode 48, Reward: 4.7251237071757615
Episode 49, Reward: 4.884499434791178
Episode 50, Reward: 3.167323212364269
Episode 51, Reward: 4.571907763226271
Episode 52, Reward: 5.659604311453735
Episode 53, Reward: 2.9428184324353373
Episode 54, Reward: 9.349432423398422
Episode 55, Reward: 3.568127732746654
Episode 56, Reward: 3.380669323970923
Episode 57, Reward: 3.2059450309183246
Episode 58, Reward: 4.242420901486101
Episode 59, Reward: 3.808959778756875
Episode 60, Reward: 3.522885936052665
Episode 61, Reward: 2.9722780345775055
Episode 62, Reward: 6.411429634973692
Episode 63, Reward: 3.2686664462951356
Episode 64, Reward: 3.6178519372191493
Episode 65, Reward: 3.5751618467852326
Episode 66, Reward: 4.174294769012933
Episode 67, Reward: 5.21780464927954
Episode 68, Reward: 3.450688104337433
Episode 69, Reward: 6.570463362298806
Episode 70, Reward: 2.9546172773303088
Episode 71, Reward: 3.290529809036718
Episode 72, Reward: 3.497043222053729
Episode 73, Reward: 8.3067192593274
Episode 74, Reward: 3.7838665099290494
Episode 75, Reward: 4.0005540916590325
Episode 76, Reward: 6.916083063933055
Episode 77, Reward: 3.6094317072430453
Episode 78, Reward: 3.5013018752168623
Episode 79, Reward: 3.7902310607714655
Episode 80, Reward: 3.3766165285772543
Episode 81, Reward: 3.358030785653704
Episode 82, Reward: 4.043434594503851
Episode 83, Reward: 3.083823045319018
Episode 84, Reward: 4.284465799090527
Episode 85, Reward: 2.9767796990677087
Episode 86, Reward: 3.714973300874566
Episode 87, Reward: 4.967684825139626
Episode 88, Reward: 4.520572674667356
Episode 89, Reward: 3.0360944649795103
Episode 90, Reward: 4.201827017551517
Episode 91, Reward: 4.005134696960136
Episode 92, Reward: 6.349861888535675
Episode 93, Reward: 3.2977158913450753
Episode 94, Reward: 5.014371654241561
Episode 95, Reward: 3.955000083956487
Episode 96, Reward: 3.156306970296616
Episode 97, Reward: 2.9427444054048255
Episode 98, Reward: 3.5084166504882206
Episode 99, Reward: 6.430638158058027
Episode 100, Reward: 3.0433581364086812
Episode 101, Reward: 6.789265920564601
Episode 102, Reward: 3.9741511847585445
Episode 103, Reward: 4.162763031742138
Episode 104, Reward: 3.586591425365498
Episode 105, Reward: 4.336769795971453
Episode 106, Reward: 3.5104237764626447
Episode 107, Reward: 3.2637522895104523
Episode 108, Reward: 6.694583149079088
Episode 109, Reward: 3.78279058799745
Episode 110, Reward: 3.8462910217793427
Episode 111, Reward: 3.5849578856757405
Episode 112, Reward: 5.920347862251391
Episode 113, Reward: 4.137496223098157
Episode 114, Reward: 4.333896487068522
Episode 115, Reward: 2.979903931372473
Episode 116, Reward: 6.974987552440179
Episode 117, Reward: 3.92622505220124
Episode 118, Reward: 5.150038344157978
Episode 119, Reward: 6.167866102967705
Episode 120, Reward: 3.9486336734157073
Episode 121, Reward: 4.133292728406663
Episode 122, Reward: 3.3602778051044186
Episode 123, Reward: 4.019195971873331
Episode 124, Reward: 2.9211405595813513
Episode 125, Reward: 4.253367561144537
Episode 126, Reward: 2.8565052215239266
Episode 127, Reward: 6.690736797084595
Episode 128, Reward: 3.3108246657247555
Episode 129, Reward: 3.1658113319740027
Episode 130, Reward: 3.1251859807481672
Episode 131, Reward: 3.634286766749438
Episode 132, Reward: 3.867348806807881
Episode 133, Reward: 3.9335654458723557
Episode 134, Reward: 3.821471593205599
Episode 135, Reward: 3.797609275298357
Episode 136, Reward: 3.542683080557506
Episode 137, Reward: 3.2463409234562763
Episode 138, Reward: 3.3639211295297637
Episode 139, Reward: 3.9009465909684775
Episode 140, Reward: 3.289178520390424
Episode 141, Reward: 3.1383088627371
Episode 142, Reward: 4.66825223113061
Episode 143, Reward: 4.124642512043376
Episode 144, Reward: 3.742812895242275
Episode 145, Reward: 4.414711664322006
Episode 146, Reward: 3.7046540663203413
Episode 147, Reward: 3.9630086954960193
Episode 148, Reward: 3.038868694300926
Episode 149, Reward: 8.403852097171226
Episode 150, Reward: 4.617154496400979
Episode 151, Reward: 3.5373818246120017
Episode 152, Reward: 3.6656680720724983
Episode 153, Reward: 3.9351032142987696
Episode 154, Reward: 4.098669894528974
Episode 155, Reward: 4.429994914032814
Episode 156, Reward: 3.885463270290369
Episode 157, Reward: 4.252073989586819
Episode 158, Reward: 4.091327531129052
Episode 159, Reward: 3.7100212977711964
Episode 160, Reward: 4.02076545984856
Episode 161, Reward: 2.636648484788039
Episode 162, Reward: 2.664604995787925
Episode 163, Reward: 3.6216115621648224
Episode 164, Reward: 4.701812174758983
Episode 165, Reward: 3.4292194552634796
Episode 166, Reward: 3.331104507836745
Episode 167, Reward: 4.874903210291768
Episode 168, Reward: 3.7059439798878113
Episode 169, Reward: 4.024220518279767
Episode 170, Reward: 4.312915259733567
Episode 171, Reward: 4.32564917332495
Episode 172, Reward: 3.3436475397789143
Episode 173, Reward: 4.061075904767625
