[34m[1mwandb[0m: [33mWARNING[0m Linked 1 file into the W&B run directory (hardlinks); call wandb.save again to sync new files.

[BEST MODEL SAVED] Avg100 Reward: 16.44

Episode:     0 | Reward:      16.44 | Avg100:      16.44
Episode 0, Reward: 16.441412906891426
Episode 1, Reward: 4.410634418936339
Episode 2, Reward: 5.656643232088885
Episode 3, Reward: 6.422841270051329
Episode 4, Reward: 4.159886322174496
Episode 5, Reward: 13.123744928186293
Episode 6, Reward: 10.175967193407377
Episode 7, Reward: 34.21580663488828
Episode 8, Reward: 7.179057924629062
Episode 9, Reward: 5.0686701549789
Episode 10, Reward: 10.280316448478834
Episode 11, Reward: 31.568244438776816
Episode 12, Reward: 8.299762979323763
Episode 13, Reward: 14.519808353406113
Episode 14, Reward: 7.395224665248164
Episode 15, Reward: 6.558614467194999
Episode 16, Reward: 8.151862412716083
Episode 17, Reward: 11.77457105922589
Episode 18, Reward: 11.099493873627486
Episode 19, Reward: 10.2098791403804
Episode 20, Reward: 4.318015759420656
Episode 21, Reward: 11.94998073272172
Episode 22, Reward: 6.1593826516923675
Episode 23, Reward: 12.557286061030823
Episode 24, Reward: 5.5993084203624806
Episode 25, Reward: 8.337422957817447
Episode 26, Reward: 4.1193252802552935
Episode 27, Reward: 4.226653359228513
Episode 28, Reward: 5.994466040064812
Episode 29, Reward: 14.463959147560999
Episode 30, Reward: 12.990151348503815
Episode 31, Reward: 11.872667741896924
Episode 32, Reward: 20.739060634946025
Episode 33, Reward: 6.549027058629625
Episode 34, Reward: 7.094686221095179
Episode 35, Reward: 16.885954989669553
Episode 36, Reward: 15.080658107294061
Episode 37, Reward: 6.87726772977991
Episode 38, Reward: 13.72010280743417
Episode 39, Reward: 6.185370138520619
Episode 40, Reward: 9.373417699705062
Episode 41, Reward: 4.208971046954626
Episode 42, Reward: 4.245685531242936
Episode 43, Reward: 4.079385217791563
Episode 44, Reward: 8.520482422235908
Episode 45, Reward: 4.650229448495507
Episode 46, Reward: 4.111991529226107
Episode 47, Reward: 22.365148213311596
Episode 48, Reward: 15.324482189462962
Episode 49, Reward: 7.238786534208563
Episode 50, Reward: 4.166350017401067
Episode 51, Reward: 7.511380107931957
Episode 52, Reward: 4.144811279366199
Episode 53, Reward: 17.709954566263814
Episode 54, Reward: 5.382627370131171
Episode 55, Reward: 5.439723533929137
Episode 56, Reward: 4.5018971223397255
Episode 57, Reward: 10.622714559565841
Episode 58, Reward: 13.410155553800783
Episode 59, Reward: 15.705942408037195
Episode 60, Reward: 6.6374529899337675
Episode 61, Reward: 8.786657553451668
Episode 62, Reward: 13.367014547582748
Episode 63, Reward: 13.391687923317717
Episode 64, Reward: 7.298987755206235
Episode 65, Reward: 13.299708751641878
Episode 66, Reward: 13.814127969978193
Episode 67, Reward: 4.573735150179898
Episode 68, Reward: 15.048138928272284
Episode 69, Reward: 13.904643616587137
Episode 70, Reward: 4.682217255414383
Episode 71, Reward: 6.737140196455364
Episode 72, Reward: 13.49958079852416
Episode 73, Reward: 8.233701651501315
Episode 74, Reward: 9.652548824923294
Episode 75, Reward: 7.55558517713834
Episode 76, Reward: 14.921539773417472
Episode 77, Reward: 4.372898787243156
Episode 78, Reward: 11.979690595592723
Episode 79, Reward: 8.974462927598925
Episode 80, Reward: 6.627003479538867
Episode 81, Reward: 7.456445120406659
Episode 82, Reward: 8.747670557406861
Episode 83, Reward: 8.156610088741193
Episode 84, Reward: 9.50183814168088
Episode 85, Reward: 7.016070109919718
Episode 86, Reward: 6.906344752300166
Episode 87, Reward: 6.690983586716809
Episode 88, Reward: 5.8404124314003765
Episode 89, Reward: 12.772010232968166
Episode 90, Reward: 7.200199840214482
Episode 91, Reward: 7.259345811494521
Episode 92, Reward: 5.890294279397212
Episode 93, Reward: 3.880947400339655
Episode 94, Reward: 4.2958976750874065
Episode 95, Reward: 5.869585422545848
Episode 96, Reward: 7.473576424544066
Episode 97, Reward: 7.354213544585663
Episode 98, Reward: 6.967950859226777
Episode 99, Reward: 4.576706410673231
Episode 100, Reward: 10.124893178353707
Episode 101, Reward: 7.382929277487772
Episode 102, Reward: 11.417292407218753
Episode 103, Reward: 12.958880251450774
Episode 104, Reward: 4.622772784381967
Episode 105, Reward: 7.27005054784945
Episode 106, Reward: 8.745425935261332
Episode 107, Reward: 8.915306912448314
Episode 108, Reward: 12.070661871128785
Episode 109, Reward: 7.1421648124539105
Episode 110, Reward: 7.4016771130164765
Episode 111, Reward: 15.043016683685277
Episode 112, Reward: 13.517559164376904
Episode 113, Reward: 8.094699932248123
Episode 114, Reward: 10.34817094798923
Episode 115, Reward: 8.230274355489875
Episode 116, Reward: 30.229414490332573
Episode 117, Reward: 4.95127036716749
Episode 118, Reward: 18.906818761549673
Episode 119, Reward: 7.033721237664603
Episode 120, Reward: 18.292663174838342
Episode 121, Reward: 10.629305821444852
Episode 122, Reward: 11.119622048527361
Episode 123, Reward: 7.242873484235739
Episode 124, Reward: 9.015184560470662
Episode 125, Reward: 7.057302628573182
Episode 126, Reward: 7.138727746650352
Episode 127, Reward: 23.313638296460063
Episode 128, Reward: 9.782284402183425
Episode 129, Reward: 9.143222062437607
Episode 130, Reward: 24.785899335993985
Episode 131, Reward: 9.659246729937843
Episode 132, Reward: 10.42188149151272
Episode 133, Reward: 10.487515421881056
Episode 134, Reward: 8.247852004532845
Episode 135, Reward: 7.688118715224368
Episode 136, Reward: 9.605545622256972
Episode 137, Reward: 23.852406556955327
Episode 138, Reward: 8.822614994993787
Episode 139, Reward: 5.282247836969974
