[34m[1mwandb[0m: [33mWARNING[0m Linked 1 file into the W&B run directory (hardlinks); call wandb.save again to sync new files.

[BEST MODEL SAVED] Avg100 Reward: 18.98

Episode:     0 | Reward:      18.98 | Avg100:      18.98
Episode 0, Reward: 18.983443402683715
Episode 1, Reward: 5.995966913523556
Episode 2, Reward: 18.896981243812675
Episode 3, Reward: 6.813774035037559
Episode 4, Reward: 12.274804284972479
Episode 5, Reward: 5.3089054500017125
Episode 6, Reward: 6.258761898807934
Episode 7, Reward: 5.706065007209132
Episode 8, Reward: 6.736753876833317
Episode 9, Reward: 6.89696805515639
Episode 10, Reward: 15.166361718636045
Episode 11, Reward: 5.830032078771863
Episode 12, Reward: 5.829648666557365
Episode 13, Reward: 13.138628913858376
Episode 14, Reward: 5.3178784076332395
Episode 15, Reward: 4.89983827635153
Episode 16, Reward: 6.860382789061644
Episode 17, Reward: 6.960466810442854
Episode 18, Reward: 4.560133585378083
Episode 19, Reward: 4.856644352950769
Episode 20, Reward: 17.53286955607606
Episode 21, Reward: 6.211445735156439
Episode 22, Reward: 7.474940210640232
Episode 23, Reward: 4.513330231733035
Episode 24, Reward: 6.958341803846625
Episode 25, Reward: 19.32049091022642
Episode 26, Reward: 24.570852285959827
Episode 27, Reward: 6.353264441097646
Episode 28, Reward: 6.127406959831871
Episode 29, Reward: 4.875184165430893
Episode 30, Reward: 5.436306598367344
Episode 31, Reward: 5.607913314306511
Episode 32, Reward: 5.0429775736071525
Episode 33, Reward: 13.177017612082377
Episode 34, Reward: 9.297057274727546
Episode 35, Reward: 12.529648334146136
Episode 36, Reward: 6.986983913311892
Episode 37, Reward: 14.579846451213134
Episode 38, Reward: 5.703450295364089
Episode 39, Reward: 8.730272325237214
Episode 40, Reward: 5.858735557712371
Episode 41, Reward: 4.5422943991139535
Episode 42, Reward: 8.348467222693797
Episode 43, Reward: 5.821667339297379
Episode 44, Reward: 7.061077566303778
Episode 45, Reward: 9.363425948532251
Episode 46, Reward: -2.6863916607291465
Episode 47, Reward: 18.853979093012185
Episode 48, Reward: 9.809972416026579
Episode 49, Reward: 6.125938007805856
Episode 50, Reward: 33.99229988345136
Episode 51, Reward: 7.940605880504723
Episode 52, Reward: 12.270995794055766
Episode 53, Reward: 6.192864731764614
Episode 54, Reward: 17.86562778165029
Episode 55, Reward: 7.772583603016143
Episode 56, Reward: 9.754849853246707
Episode 57, Reward: 8.763075825229022
Episode 58, Reward: 4.70143020774797
Episode 59, Reward: 4.69892877821135
Episode 60, Reward: 36.094971763493355
Episode 61, Reward: 9.362132562394214
Episode 62, Reward: 11.539496089692298
Episode 63, Reward: 17.09624237131616
Episode 64, Reward: 5.738685750770685
Episode 65, Reward: 13.145579929501038
