[34m[1mwandb[0m: [33mWARNING[0m Linked 1 file into the W&B run directory (hardlinks); call wandb.save again to sync new files.

[BEST MODEL SAVED] Avg100 Reward: 1.63

Episode:     0 | Reward:       1.63 | Avg100:       1.63
Episode 0, Reward: 1.6285874027516758
Episode 1, Reward: 1.5187379159803531

[BEST MODEL SAVED] Avg100 Reward: 2.01

Episode:     2 | Reward:       2.90 | Avg100:       2.01
Episode 2, Reward: 2.897055410864456
Episode 3, Reward: 1.6871609491314992
Episode 4, Reward: 1.3979594465698675
Episode 5, Reward: 1.8659809504410874
Episode 6, Reward: 2.063125259146057
Episode 7, Reward: 1.7998032097633327
Episode 8, Reward: 1.7792271471789045
Episode 9, Reward: 1.7877207743616705
Episode 10, Reward: 1.630754910313082
Episode 11, Reward: 2.0150177884284135
Episode 12, Reward: 0.9210594584256449
Episode 13, Reward: 2.1480473237018263
Episode 14, Reward: 2.129904533590678
Episode 15, Reward: 1.6336590044773898
Episode 16, Reward: 1.8061898776342544
Episode 17, Reward: 1.6940226710344777
Episode 18, Reward: 2.2414227971373104
Episode 19, Reward: 1.792732137142827
Episode 20, Reward: 2.1017018630988034
Episode 21, Reward: 1.7275114813587518
Episode 22, Reward: 4.156795908330522

[BEST MODEL SAVED] Avg100 Reward: 2.04

Episode:    23 | Reward:       4.59 | Avg100:       2.04
Episode 23, Reward: 4.591147163914503

[BEST MODEL SAVED] Avg100 Reward: 2.05

Episode:    24 | Reward:       2.25 | Avg100:       2.05
Episode 24, Reward: 2.2476244488109485
Episode 25, Reward: 1.718475094702202

[BEST MODEL SAVED] Avg100 Reward: 2.13

Episode:    26 | Reward:       4.44 | Avg100:       2.13
Episode 26, Reward: 4.443340089773416
Episode 27, Reward: 1.9297879497781107

[BEST MODEL SAVED] Avg100 Reward: 2.18

Episode:    28 | Reward:       3.93 | Avg100:       2.18
Episode 28, Reward: 3.9304793671799025
Episode 29, Reward: 1.9170294924135614
Episode 30, Reward: 1.6534530425182077
Episode 31, Reward: 1.6796692609692645
Episode 32, Reward: 1.6474109018644976
Episode 33, Reward: 1.5884706639612722
Episode 34, Reward: 4.4780476256491415
Episode 35, Reward: 1.3252911357771362
Episode 36, Reward: 1.489076145968269
Episode 37, Reward: 2.601768481580229
Episode 38, Reward: 2.0006254914037145
Episode 39, Reward: 1.637832768600688
Episode 40, Reward: 1.7780270622125052
Episode 41, Reward: 2.5724063032735636
Episode 42, Reward: 1.4230359584722292
Episode 43, Reward: 1.9456941560889978
Episode 44, Reward: 1.4172963466165704
Episode 45, Reward: 1.8711976451321377
Episode 46, Reward: 1.9968268058858483
Episode 47, Reward: 4.522783040732685
Episode 48, Reward: 2.0316887276444495
Episode 49, Reward: 3.845530462718622
Episode 50, Reward: 2.0384273236496564
Episode 51, Reward: 1.3994044063628326
Episode 52, Reward: 2.029135079239282
Episode 53, Reward: 1.564248954051532
Episode 54, Reward: 1.907563727964487
Episode 55, Reward: 1.671774674642184
Episode 56, Reward: 1.7681073770762088
Episode 57, Reward: 2.6141570267165664
Episode 58, Reward: 1.473567283966545
Episode 59, Reward: 2.699903432871123
Episode 60, Reward: 2.7970162640498906
Episode 61, Reward: 1.8695585981554836
Episode 62, Reward: 2.2671927149753763
Episode 63, Reward: 2.0698403140571258
Episode 64, Reward: 1.9551995375473343
Episode 65, Reward: 1.943295331654534
Episode 66, Reward: 2.1491462054395156
Episode 67, Reward: 3.4406804387371577
Episode 68, Reward: 2.0705428403079202
Episode 69, Reward: 2.0699832295558895
Episode 70, Reward: 1.4547357409036747
Episode 71, Reward: 1.6594123072454017
Episode 72, Reward: 1.4225723204802418
Episode 73, Reward: 1.9294204363460699
Episode 74, Reward: 1.8516066707112655
Episode 75, Reward: 1.58218670978707
Episode 76, Reward: 2.0793409591439342
Episode 77, Reward: 1.6256196869128894
Episode 78, Reward: 1.796110343980874
Episode 79, Reward: 1.439649212967423
Episode 80, Reward: 1.482429493364664
Episode 81, Reward: 2.247323658330423
Episode 82, Reward: 1.618208481542317
Episode 83, Reward: 1.6491790866179246
Episode 84, Reward: 1.6100180663632875
Episode 85, Reward: 1.8263381225391235
Episode 86, Reward: 1.4040373474274654
Episode 87, Reward: 1.8150981385821905
Episode 88, Reward: 1.6376585118446543
Episode 89, Reward: 2.1974867643593154
Episode 90, Reward: 1.776502106466538
Episode 91, Reward: 2.2710357730787587
Episode 92, Reward: 1.2547944226031822
Episode 93, Reward: 1.9615614960232954
Episode 94, Reward: 1.7205652402734009
Episode 95, Reward: 2.6219384916459756
Episode 96, Reward: 1.4634154509249255
Episode 97, Reward: 1.7207987915023155
Episode 98, Reward: 1.1775182996687519
Episode 99, Reward: 1.2885047728031422
Episode 100, Reward: 1.4652287648071738
